Stock,LSTM (MAE),SVR_Linear (MAE),SVR_Polynomial (MAE),SVR_Rbf (MAE),Random Forest (MAE),Gradient Boosting (MAE),LSTM (MSE),SVR_Linear (MSE),SVR_Polynomial (MSE),SVR_Rbf (MSE),Random Forest (MSE),Gradient Boosting (MSE),LSTM (Dir. Symm.),SVR_Linear (Dir. Symm.),SVR_Polynomial (Dir. Symm.),SVR_Rbf (Dir. Symm.),Random Forest (Dir. Symm.),Gradient Boosting (Dir. Symm.),Model
HCLTECH,0.6797109427240285,0.7747890667117318,0.4999394614757501,0.9999999999999999,0.020118585924647825,0.0,0.7188414473232622,0.6371547843668807,0.5137578150749509,0.9999999999999998,0.023649439399195477,0.0,48.371104815864015,48.158640226628904,49.150141643059484,48.158640226628904,47.23796033994334,47.096317280453256,Random Forest
HDFCBANK,0.24109901889438978,0.7130378905585871,0.7587133327678082,0.9999999999999998,0.018809561817185946,0.0,0.15013328203865117,0.5816421066199738,0.8280935235218099,1.0,0.002583351594785288,0.0,48.72521246458923,49.787535410764875,48.654390934844194,49.787535410764875,47.946175637393765,50.14164305949008,Gradient Boosting
HDFC,0.7492152828303883,0.6826907676303599,0.7054903095749306,1.0,0.029261856070629144,0.0,0.6219692243219883,0.5715818344685077,0.6730037789433221,1.0,0.011505922131799573,0.0,50.991501416430594,49.57507082152974,48.30028328611897,49.150141643059484,50.991501416430594,51.345609065155806,Gradient Boosting
HEROMOTOCO,0.5684741462675119,0.5545449051855545,0.9999999999999999,0.8477839451363783,0.0643192725358478,0.0,0.44061116689030333,0.38983712117900815,1.0,0.7450840012058528,0.02739545916419192,0.0,47.59206798866855,49.64589235127479,50.49575070821529,50.77903682719547,50.28328611898017,50.14164305949008,Gradient Boosting
HINDALCO,0.33493132383418234,0.3963211463716859,0.9397363674251137,1.0,0.12101372399355803,0.0,0.29087594307238596,0.2560556797575503,1.0,0.992405266622089,0.10654956596992177,0.0,50.92067988668555,48.30028328611897,49.787535410764875,50.212464589235125,50.49575070821529,49.64589235127479,Random Forest
HINDPETRO,0.5756771933254528,0.5625989119307084,0.6659746112989731,1.0,0.013731622328515158,0.0,0.48872681135295837,0.44995465740828733,0.64847676419506,0.9999999999999999,0.003011768500723211,0.0,54.17847025495751,50.35410764872521,50.70821529745042,50.70821529745042,48.30028328611897,48.01699716713881,Random Forest
HINDUNILVR,0.653298667811514,0.30620718859949453,0.7905701029212211,1.0,0.09673369025761797,0.0,0.831322545576485,0.19900704283551635,0.9129332540258344,1.0,0.05860681159837877,0.0,51.69971671388102,49.362606232294624,49.43342776203966,50.212464589235125,48.654390934844194,48.654390934844194,Gradient Boosting
IBULHSGFIN,1.0000000000000002,0.24518599358082532,0.6564459030304157,0.8611838048509404,0.039070551513231466,0.0,0.9999999999999999,0.06803600911212629,0.4672187227379958,0.6224932301666432,0.0029493632956826554,0.0,51.27478753541076,49.008498583569406,48.22946175637394,48.79603399433427,49.504249291784696,51.69971671388102,Gradient Boosting
ICICIBANK,0.4770963725465838,0.6176621934300877,0.762047587222769,1.0,0.07093128404531274,0.0,0.3369276100854927,0.49985538654201744,0.7902907674578422,0.9999999999999999,0.03816997693151243,0.0,48.937677053824366,49.787535410764875,49.787535410764875,50.35410764872521,49.57507082152974,51.98300283286119,Gradient Boosting
INDUSINDBK,0.42751873249638517,0.5900330184916915,0.9999999999999998,0.8446279859184722,0.07694515328794727,0.0,0.32039550707414693,0.43894364827354143,1.0,0.718518087033869,0.05689136620050911,0.0,50.77903682719547,49.64589235127479,51.345609065155806,51.41643059490085,49.43342776203966,49.43342776203966,Gradient Boosting
INFY,0.4414143560463942,0.3689185528482642,0.3878717238729031,1.0,0.0,0.000994075491606461,0.5074694795937029,0.23454014952698396,0.33685841330459076,1.0,0.0,0.013317271715892448,49.787535410764875,47.30878186968839,50.07082152974505,48.51274787535411,47.6628895184136,48.01699716713881,SVR-Polynomial
IOC,0.16934858931558905,0.7046206252556663,0.6937000091646429,1.0,0.05039181234211976,0.0,0.09316474183012963,0.6079468943637452,0.6526968496480017,1.0,0.028022275704354754,0.0,45.538243626062325,48.08781869688386,48.01699716713881,49.362606232294624,48.30028328611897,47.379603399433435,Random Forest
ITC,0.421975794972711,0.41573042262280024,0.9043150044419181,1.0,0.10225259825222166,0.0,0.33275009991883175,0.31370079430866415,0.9360140906015734,0.9999999999999999,0.09726086311572346,0.0,51.345609065155806,50.28328611898017,51.27478753541076,45.679886685552404,48.01699716713881,48.937677053824366,Gradient Boosting
JSWSTEEL,0.9982502697037883,0.35126604073798906,0.6735156942234302,1.0,0.09183354259689303,0.0,1.0,0.20810509785300352,0.6344771347645217,0.8200875414795334,0.04904819761795459,0.0,48.86685552407932,49.57507082152974,51.27478753541076,50.49575070821529,49.150141643059484,49.92917847025495,Gradient Boosting
KOTAKBANK,0.9199073248594826,0.4398909145560198,1.0,0.9238284585270001,0.014774861448599519,0.0,0.9215557350754828,0.301363933826155,0.9999999999999998,0.8385079926027836,0.00987441735141209,0.0,48.583569405099155,50.77903682719547,50.35410764872521,51.41643059490085,50.77903682719547,48.654390934844194,Random Forest
LT,0.49952915914643775,0.7336995030957023,0.6610609482536485,1.0,0.029993840691584894,0.0,0.42270300744531686,0.6502275123127765,0.6236271691388781,1.0,0.015419321040978679,0.0,50.0,49.362606232294624,49.787535410764875,47.875354107648725,50.56657223796034,51.06232294617564,Gradient Boosting
MARUTI,0.7919804876606333,0.7148619434314369,0.8095591540931037,1.0,0.03388173635821973,0.0,0.965930109272532,0.6144913204064024,0.8418444896499581,1.0,0.0,0.00946597781730285,51.55807365439094,51.27478753541076,48.937677053824366,51.98300283286119,50.0,50.849858356940516,Gradient Boosting
M,1.0,0.34836589904652954,0.41783506138779464,0.5357159159348177,0.029398646509935678,0.0,1.0,0.15916430084215527,0.2425390816470775,0.3086045925635614,0.011891176159338226,0.0,51.91218130311614,47.23796033994334,50.35410764872521,49.29178470254958,51.55807365439094,49.43342776203966,Random Forest
NTPC,0.139535275326224,0.5267501910882537,0.747294485113644,1.0000000000000002,0.02352845845826601,0.0,0.0,0.11168266982351005,0.28672700000962914,0.4820295183126614,0.2635715556821938,1.0,44.050991501416426,47.52124645892351,46.74220963172804,47.80453257790368,45.679886685552404,46.671388101983005,SVR-Linear
ONGC,0.8350585603773077,0.633434340326642,0.5586758861537131,1.0,0.028942134738114578,0.0,1.0,0.44807927768795164,0.47978241407385847,0.8995715273078606,0.00374407824088388,0.0,48.937677053824366,47.733711048158646,46.38810198300283,48.371104815864015,46.24645892351275,48.01699716713881,Gradient Boosting
PNB,0.43451081488540144,0.6678006479396595,1.0,0.7300217563909871,0.06251025590431625,0.0,0.3573784866969499,0.5823420024128574,0.9999999999999998,0.6994178085675589,0.04659358312719708,0.0,46.17563739376771,48.22946175637394,48.158640226628904,48.72521246458923,47.80453257790368,46.24645892351275,Random Forest
POWERGRID,0.612460302088683,0.686665107354145,0.857253330554945,0.9999999999999998,0.12231365239259584,0.0,0.5442843867342527,0.5817135889939732,0.8114162677057793,1.0,0.07645657250666671,0.0,48.654390934844194,46.74220963172804,48.937677053824366,47.379603399433435,48.72521246458923,49.92917847025495,Gradient Boosting
RELIANCE,0.34080524552347874,0.5486801737758125,0.6543353187316656,1.0000000000000002,0.012030681870658422,0.0,0.40132631252014206,0.3968551806863777,0.6222059214065339,0.9999999999999999,0.0,0.0005731248952926815,50.28328611898017,50.35410764872521,47.875354107648725,49.57507082152974,48.44192634560906,47.875354107648725,LSTM
SBIN,0.6658669386210448,0.8081473859282485,0.9999999999999999,0.9915390743712903,0.04991046204768779,0.0,0.5322203594504992,0.6122352200925136,1.0,0.8700283174684016,0.025108697205938585,0.0,50.70821529745042,50.56657223796034,51.345609065155806,50.42492917847026,50.991501416430594,50.07082152974505,Random Forest
SUNPHARMA,0.3070530640908137,0.5056770181841018,0.9999999999999999,0.7436992392798442,0.0820127249010344,0.0,0.26273407081218736,0.3892351101250936,0.9999999999999999,0.6944771634993613,0.04659453970108718,0.0,47.946175637393765,50.42492917847026,51.13314447592068,50.991501416430594,47.733711048158646,49.07932011331444,Gradient Boosting
TATAMOTORS,0.41260460811454075,0.5676070878243935,0.8406854031648627,1.0,0.0,0.008750984835750708,0.3346929971855886,0.41766140718382255,1.0,0.9412219908488161,0.0,0.01073879223348595,48.30028328611897,51.27478753541076,52.19546742209632,51.55807365439094,50.49575070821529,50.0,Random Forest
TATASTEEL,0.9374468930289152,0.5473144784983387,1.0,0.9879656761171988,0.07698331018781934,0.0,1.0,0.3287566898837857,0.8462726262623939,0.7807614547571967,0.03004500772527932,0.0,49.57507082152974,50.77903682719547,48.86685552407932,48.72521246458923,51.06232294617564,51.06232294617564,Gradient Boosting
TCS,0.3681752628747069,0.7361494700068995,0.8960966579874904,1.0,0.0815989883929028,0.0,0.3013726408245148,0.6605038696019341,0.92169398004603,1.0,0.05956402495058549,0.0,51.84135977337111,51.84135977337111,50.42492917847026,51.41643059490085,50.28328611898017,50.56657223796034,LSTM
TECHM,0.35859566333818194,0.5599885675591229,0.738626114183844,1.0,0.14792674085786295,0.0,0.26839702082776246,0.4558150772854807,0.7178756055386495,1.0,0.1524482026684078,0.0,50.63739376770538,52.97450424929179,49.85835694050991,54.107648725212464,50.49575070821529,49.504249291784696,Gradient Boosting
TITAN,0.5342138197448707,0.7360697600026797,0.9961880845236194,0.9999999999999999,0.045127083853218064,0.0,0.34038018561610506,0.6063071039962264,0.9318892198950927,0.9999999999999999,0.02372326656066784,0.0,48.79603399433427,50.42492917847026,49.85835694050991,50.991501416430594,49.787535410764875,50.63739376770538,Gradient Boosting
ULTRACEMCO,0.43859709645902134,0.6543523194199106,1.0,0.9075387152297236,0.019237701645113958,0.0,0.27921300079753514,0.5289875300569467,1.0,0.8115378972680805,0.008748452591101186,0.0,49.787535410764875,50.42492917847026,53.328611898016995,49.008498583569406,48.937677053824366,49.787535410764875,Gradient Boosting
UPL,0.0795888001733891,0.3599380436200834,1.0,0.3921250172188182,0.05569456514545568,0.0,0.07232767751309063,0.27015740020445844,0.9999999999999999,0.314190757426385,0.05037233622358836,0.0,47.80453257790368,51.77053824362606,48.44192634560906,50.212464589235125,47.6628895184136,47.096317280453256,SVR-Linear
VEDL,0.3064136808588793,0.45563874256725523,1.0,0.6900730066142529,0.07731577883012963,0.0,0.21288411505066146,0.36623551101276325,1.0,0.6133821872051579,0.05236561154915198,0.0,47.59206798866855,49.85835694050991,50.212464589235125,48.86685552407932,47.23796033994334,48.79603399433427,Gradient Boosting
WIPRO,0.0,0.3632639976288268,1.0,0.5118244211071812,0.07255645343480177,0.018513504489046984,0.0,0.27136932567573063,1.0,0.45292758674416583,0.15525112733391983,0.11903608656817599,49.22096317280453,48.79603399433427,50.56657223796034,49.008498583569406,48.583569405099155,47.733711048158646,LSTM
YESBANK,0.4647240330743641,0.4991457656857952,1.0,0.6274568126222408,0.02654974286720957,0.0,0.30911040817770025,0.3835861435762221,1.0,0.5549026043036562,0.01399610534770232,0.0,50.849858356940516,50.212464589235125,51.41643059490085,51.41643059490085,49.57507082152974,49.64589235127479,Gradient Boosting
ZEEL,0.7520877558775089,0.5694411544839412,0.808676755729184,1.0,0.07938472023979437,0.0,0.9520555025517465,0.44894751420460965,0.9149840282607564,1.0,0.04931982603281504,0.0,51.06232294617564,49.22096317280453,51.55807365439094,48.22946175637394,50.14164305949008,49.85835694050991,Gradient Boosting
